"
amarelõezinhos A-PL-SUFFIX amarelãozinho
anões A-PL-SUFFIX anão
anãos A-PL-SUFFIX anão
anõezinhos A-PL-SUFFIX anãozinho
anãozinhos A-PL-SUFFIX anãozinho
beirõezinhos A-PL-SUFFIX beirãozinho
canzarrõezinhos A-PL-SUFFIX canzarrãozinho
cães A-PL-SUFFIX cão
cãos A-PL-SUFFIX cão
cãezinhos A-PL-SUFFIX cãozinho
cãozinhos A-PL-SUFFIX cãozinho
canazezinhos A-PL-SUFFIX canazinho
canazinhos A-PL-SUFFIX canazinho
catalões A-PL-SUFFIX catalão
catalães A-PL-SUFFIX catalão
catalãos A-PL-SUFFIX catalão
catalõezinhos A-PL-SUFFIX catalãozinho
catalãezinhos A-PL-SUFFIX catalãozinho
catalãozinhos A-PL-SUFFIX catalãozinho
encantadorezinhos A-PL-SUFFIX encantadorzinho
encantadorzinhos A-PL-SUFFIX encantadorzinho
exemplarezinhos A-PL-SUFFIX exemplarzinho
exemplarzinhos A-PL-SUFFIX exemplarzinho
felizezinhos A-PL-SUFFIX felizinho
felizinhos A-PL-SUFFIX felizinho
felizõezinhos A-PL-SUFFIX felizãozinho
ferozezinhos A-PL-SUFFIX ferozinho
ferozinhos A-PL-SUFFIX ferozinho
fieizinhos A-PL-SUFFIX fielzinho
fieizinhos A-PL-SUFFIX fielzinho
francesazinhas A-PL-SUFFIX francesinho
francesezinhos A-PL-SUFFIX francesinho
hebreiazinhas A-PL-SUFFIX hebreuzinho
ilhoazinhas A-PL-SUFFIX ilhãozinho
ilhoinhas A-PL-SUFFIX ilhãozinho
inglesazinhas A-PL-SUFFIX inglesinho
inglesezinhos A-PL-SUFFIX inglesinho
judiazinhas A-PL-SUFFIX judeuzinho
;nuazinhas A-PL-SUFFIX nuzinho
pequenazinhas A-PL-SUFFIX pequenozinho
trabalhadeirazinhas A-PL-SUFFIX trabalhadeirozinho
trabalhadorazinhas A-PL-SUFFIX trabalhadorzinho
trabalhadorezinhos A-PL-SUFFIX trabalhadorzinho
vermelhaçazinhas A-PL-SUFFIX vermelhaçozinho
vermelhazinhas A-PL-SUFFIX vermelhozinho
anã FEM-SUFFIX anão
beirã FEM-SUFFIX beirão
beiroa FEM-SUFFIX beirão
cã FEM-SUFFIX cão
catalã FEM-SUFFIX catalão
europeia FEM-SUFFIX europeu
européia FEM-SUFFIX europeu
hebreia FEM-SUFFIX hebreu
hebréia FEM-SUFFIX hebreu
judia FEM-SUFFIX judeu
trabalhadora FEM-SUFFIX trabalhador
trabalhadeira FEM-SUFFIX trabalhador
amarelonazinha FEM-SUFFIX amarelãozinho
amareloninha FEM-SUFFIX amarelãozinho
amarelazinha FEM-SUFFIX amarelozinho
anãzinha FEM-SUFFIX anãozinho
beirãzinha FEM-SUFFIX beirãozinho
beiroazinha FEM-SUFFIX beirãozinho
beiroinha FEM-SUFFIX beirãozinho
cãzinha FEM-SUFFIX cãozinho
catalãzinha FEM-SUFFIX catalãozinho
cruazinha FEM-SUFFIX cruzinho
encantadorazinha FEM-SUFFIX encantadorzinho
europeiazinha FEM-SUFFIX europeuzinho
felizoninha FEM-SUFFIX felizãozinho
francesazinha FEM-SUFFIX francesinho
francesinha FEM-SUFFIX francesinho
hebreiazinhas FEM-SUFFIX hebreuzinho
ilhoazinha FEM-SUFFIX ilhéuzinho
ilhoinha FEM-SUFFIX ilhéuzinho
inglesazinha FEM-SUFFIX inglesinho
inglesinha FEM-SUFFIX inglesinho
judiazinha FEM-SUFFIX judeuzinho
nuazinha FEM-SUFFIX nuzinho
nuzinha FEM-SUFFIX nuzinho
pequenazinhas FEM-SUFFIX pequenozinho
trabalhadeirazinha FEM-SUFFIX trabalhadorzinho
trabalhadorazinh FEM-SUFFIX trabalhadorzinho
vermelhaçazinha FEM-SUFFIX vermelhaçozinho
vermelhazinha FEM-SUFFIX vermelhozinho

"
